Time,Station,VxTarget
            0,          -160,            80
          0.2,  -155.5572052, 77.5317764282
          0.4, -151.134307861,  75.857208252
          0.6, -146.778244019,   74.75415802
          0.8, -142.503738403, 73.6559829712
            1, -138.31036377, 72.5627212524
          1.2, -134.196350098, 71.4738998413
          1.4, -130.159301758, 70.3890609741
          1.6, -126.196685791, 69.3076858521
          1.8, -122.306175232, 68.2292938232
            2, -118.485870361, 67.1535339355
          2.2, -114.734161377, 66.0801239014
          2.4, -111.049613953, 65.0088348389
          2.6, -107.430953979, 63.9395065308
          2.8, -103.877098083, 62.8720626831
            3, -100.387161255,  61.804107666
          3.2, -96.9603652954, 60.7366218567
          3.4, -93.5960540771, 59.6704139709
          3.6, -90.2936706543, 58.6056442261
          3.8, -87.0527420044, 57.5425872803
            4, -83.8728561401, 56.4816436768
          4.2, -80.7536773682,  55.416847229
          4.4, -77.6949234009, 54.3527069092
          4.6, -74.6963348389, 53.2908973694
          4.8, -71.7577056885, 52.2323188782
            5, -68.8788757324, 51.1684532166
          5.2, -66.0596847534, 50.1051559448
          5.4, -63.3000221252, 49.0462989807
          5.6, -60.5997467041, 47.9857902527
          5.8, -57.9587631226, 46.9212799072
            6, -55.376991272, 45.8635635376
          6.2, -52.8543586731, 44.8016853333
          6.4, -50.390838623, 43.7379989624
          6.6, -47.9864120483, 42.6857376099
          6.8, -45.6410636902, 41.6156806946
            7, -43.3548431396, 40.5588188171
          7.2, -41.1276779175, 39.4951286316
          7.4, -38.9595451355, 38.4339675903
          7.6, -36.8503799438, 37.3746147156
          7.8, -34.8001708984, 36.3101539612
            8, -32.808883667, 35.2523956299
          8.2, -30.8765354156, 34.1870765686
          8.4, -29.0031089783, 33.1271095276
          8.6, -27.1886711121, 32.0661239624
          8.8, -25.4333553314, 30.9985752106
            9, -23.7376251221, 29.9531936646
          9.2, -22.1009845734, 28.8700332642
          9.4, -20.5233860016, 27.8259468079
          9.6, -19.0049057007, 26.7503700256
          9.8, -17.5467758179, 25.6818752289
           10, -16.1456451416, 24.6551475525
         10.2, -14.7689580917, 23.5228595734
         10.4, -13.4149503708, 22.3948574066
         10.6, -12.0995988846, 21.2990570068
         10.8, -10.834145546, 20.0605773926
           11, -9.62790679932, 18.8650455475
         11.2, -8.48793506622, 17.7351932526
         11.4, -7.41797733307, 16.4941692352
         11.6, -6.42239904404, 15.1985673904
         11.8, -5.50455379486, 14.0041227341
           12, -4.66480493546, 12.9113092422
         12.2, -3.90177154541, 11.9800081253
         12.4, -3.19075608253,   11.50116539
         12.6, -2.50735926628, 11.0409231186
         12.8, -1.84712839127, 10.5962820053
           13, -1.18859243393, 10.1527814865
         13.2, -0.531377255917, 9.71017169952
         13.4, 0.122917622328, 9.41385936737
         13.6, 0.772506773472, 9.73914051056
         13.8, 1.44853591919, 10.0776615143
           14, 2.21266174316, 10.4602975845
         14.2, 3.06507325172, 10.8871421814
         14.4, 3.90041851997, 11.3054409027
         14.6, 4.71215867996, 12.1540164948
         14.8, 5.52813243866, 13.0691595078
           15, 6.36428356171, 14.0069322586
         15.2, 7.23302745819, 14.9812583923
         15.4,  8.1404504776,  15.963309288
         15.6,  9.0840921402,  16.782081604
         15.8, 10.0611839294, 17.6298789978
           16, 11.0733308792, 18.5080928802
         16.2, 12.1287889481,   19.40666008
         16.4, 13.2344322205, 20.2181110382
         16.6, 14.3872318268, 21.0641708374
         16.8, 15.5803861618, 21.9398498535
           17, 16.8178462982,  22.777589798
         17.2, 18.1056900024, 23.6118164062
         17.4, 19.4391880035, 24.4756183624
         17.6, 20.8173923492, 25.3181343079
         17.8, 22.2479553223, 26.1568775177
           18, 23.7231960297, 27.0218143463
         18.2, 25.2430915833, 27.8548622131
         18.4, 26.8148059845, 28.7029418945
         18.6, 28.4313545227, 29.5592269897
         18.8, 30.0934352875, 30.3944683075
           19, 31.8058605194, 31.2550125122
         19.2, 33.5627441406, 32.0904922485
         19.4, 35.3660697937, 32.9420089722
         19.6, 37.2204170227, 33.7865905762
         19.8, 39.1196670532, 34.6351165771
           20, 41.0637321472, 35.4805679321
         20.2, 43.0587692261, 36.3285713196
         20.4, 45.1002922058, 37.1756210327
         20.6,  47.185760498, 38.0228042603
         20.8, 49.3201141357, 38.8680305481
           21, 51.5045127869, 39.7193031311
         21.2, 53.7332687378, 40.5624580383
         21.4, 56.0068969727, 41.4150886536
         21.6,  58.330619812,  42.256111145
         21.8, 60.7031555176, 43.1064796448
           22, 63.1200866699, 43.9526443481
         22.2, 65.5827560425, 44.7978172302
         22.4, 68.0941085815,  45.649143219
         22.6, 70.6536331177, 46.4926300049
         22.8, 73.2594680786, 47.3400344849
           23, 75.9120101929, 48.1902923584
         23.2, 78.6123733521, 49.0341835022
         23.4, 81.3601837158, 49.8817024231
         23.6, 84.1547622681, 50.7316894531
         23.8, 86.9963760376, 51.5767936707
           24, 89.8853988647, 52.4234275818
         24.2, 92.8215942383, 53.2719612122
         24.4, 95.8047561646, 54.1206703186
         24.6, 98.8350448608, 54.9661903381
         24.8,  101.91254425, 55.8131866455
           25, 105.037124634, 56.6612358093
         25.2, 108.208755493,  57.510017395
         25.4, 111.427505493, 58.3566474915
         25.6, 114.693374634, 59.2031440735
         25.8, 118.006309509, 60.0502815247
           26,  121.36631012, 60.8978767395
         26.2, 124.773414612, 61.7457885742
         26.4, 128.227600098, 62.5938873291
         26.6,  131.72883606, 63.4410820007
         26.8, 135.277160645, 64.2877502441
           27, 138.872543335, 65.1346664429
         27.2,  142.51499939, 65.9817428589
         27.4,  146.20451355, 66.8289718628
         27.6, 149.941101074, 67.6763153076
         27.8, 153.724761963,  68.523727417
           28, 157.555480957, 69.3711547852
         28.2, 161.433273315, 70.2185745239
         28.4, 165.358123779, 71.0659790039
         28.6, 169.330047607, 71.9133605957
         28.8,   173.3490448, 72.7607269287
           29, 177.415100098, 73.6080780029
         29.2,  181.52822876,  74.455406189
         29.4, 185.688415527, 75.3027267456
         29.6, 189.895675659, 76.1500549316
         29.8, 194.149993896, 76.9973983765
           30, 198.451385498, 77.8447799683
         30.2, 202.799835205, 78.6922073364
         30.4, 207.195358276, 79.5397262573
         30.6, 211.637405396, 79.9723052979
         30.8, 216.105789185,            80
